PSNR:22.94954490661621	SSIM: 0.8849055767059326
PSNR:23.158672332763672	SSIM: 0.7552382349967957
PSNR:28.95999526977539	SSIM: 0.8596351742744446
PSNR:23.97905731201172	SSIM: 0.7405385375022888
PSNR:24.05158233642578	SSIM: 0.7731239199638367
PSNR:29.97919273376465	SSIM: 0.8978967070579529
PSNR:23.78127098083496	SSIM: 0.7719295024871826
PSNR:21.638538360595703	SSIM: 0.7380883693695068
PSNR:25.832578659057617	SSIM: 0.6645891070365906
PSNR:28.49260139465332	SSIM: 0.8869988918304443
PSNR:24.624746322631836	SSIM: 0.6452621817588806
PSNR:23.101600646972656	SSIM: 0.9381937384605408
PSNR:24.419185638427734	SSIM: 0.8172525763511658
PSNR:20.299909591674805	SSIM: 0.818651020526886
PSNR:25.011619567871094	SSIM: 0.8127167820930481
PSNR:21.11693572998047	SSIM: 0.8001582026481628
PSNR:19.525440216064453	SSIM: 0.5465062260627747
PSNR:25.53636360168457	SSIM: 0.702857494354248
PSNR:21.82790756225586	SSIM: 0.6028144955635071
PSNR:29.2978515625	                SSIM: 0.8921982645988464
PSNR:28.200571060180664	SSIM: 0.7724552750587463
PSNR:22.717496871948242	SSIM: 0.7384719252586365
PSNR:26.48357391357422	SSIM: 0.8239514231681824
PSNR:23.246639251708984	SSIM: 0.7292701601982117
PSNR:25.357585906982422	SSIM: 0.7233629822731018
PSNR:21.81770133972168	SSIM: 0.6639288067817688
PSNR:28.01471710205078	SSIM: 0.8329708576202393
PSNR:22.448169708251953	SSIM: 0.7407290935516357
PSNR:23.899444580078125	SSIM: 0.8058285117149353
PSNR:28.019737243652344	SSIM: 0.852899968624115
PSNR:21.945819854736328	SSIM: 0.5903331637382507
PSNR:25.794628143310547	SSIM: 0.8200950622558594
PSNR:24.628698348999023	SSIM: 0.5461188554763794
PSNR:22.09845542907715	SSIM: 0.9400297999382019
PSNR:26.110240936279297	SSIM: 0.8557138442993164
PSNR:22.410154342651367	SSIM: 0.6855714321136475
PSNR:29.364519119262695	SSIM: 0.9114759564399719
PSNR:27.95770835876465	SSIM: 0.824949324131012
PSNR:24.6042537689209	        SSIM: 0.7824447751045227
PSNR:28.729734420776367	SSIM: 0.7636190056800842
PSNR:21.755420684814453	SSIM: 0.7754299640655518
PSNR:21.85799789428711	SSIM: 0.77927565574646
PSNR:30.38164520263672	SSIM: 0.9009652137756348
PSNR:27.12078094482422	SSIM: 0.7809401154518127
PSNR:20.513084411621094	SSIM: 0.9086126685142517
PSNR:29.256919860839844	SSIM: 0.8914851546287537
PSNR:22.821056365966797	SSIM: 0.824542224407196
PSNR:26.596492767333984	SSIM: 0.8390814661979675
PSNR:25.09521484375	        SSIM: 0.7637345790863037
PSNR:20.28974151611328	SSIM: 0.7296895980834961
PSNR:21.670249938964844	SSIM: 0.7254505157470703
PSNR:19.61287498474121	SSIM: 0.8676974177360535
PSNR:26.775901794433594	SSIM: 0.6903278231620789
PSNR:22.91504669189453	SSIM: 0.767735481262207
PSNR:20.907787322998047	SSIM: 0.5582985877990723
PSNR:34.50393295288086	SSIM: 0.9375276565551758
PSNR:25.68600845336914	SSIM: 0.8373813629150391
PSNR:28.708646774291992	SSIM: 0.8742427825927734
PSNR:25.15558624267578	SSIM: 0.7982027530670166
PSNR:23.947616577148438	SSIM: 0.7270202040672302
PSNR:25.260513305664062	SSIM: 0.7858511805534363
PSNR:25.476451873779297	SSIM: 0.6797865033149719
PSNR:27.732210159301758	SSIM: 0.8195650577545166
PSNR:25.432289123535156	SSIM: 0.8549423217773438
PSNR:27.191543579101562	SSIM: 0.7835094332695007
PSNR:19.48457908630371	SSIM: 0.6796886324882507
Average PSNR: 24.811880	
Average SSIM: 0.780830
