PSNR:26.33267655827552	SSIM: 0.909311056137085
PSNR:22.73975110662743	SSIM: 0.8151587247848511
PSNR:29.83218902011034	SSIM: 0.8951005339622498
PSNR:22.797233923427655	SSIM: 0.8088995814323425
PSNR:23.451586628501943	SSIM: 0.8149501085281372
PSNR:30.555188648980995	SSIM: 0.9135982394218445
PSNR:19.071443236154174	SSIM: 0.8121618032455444
PSNR:21.428142189581244	SSIM: 0.80611252784729
PSNR:26.071781133194957	SSIM: 0.7503921389579773
PSNR:29.571512269219163	SSIM: 0.906934380531311
PSNR:26.15220983429877	SSIM: 0.7382385730743408
PSNR:29.6889331777001	        SSIM: 0.9459090232849121
PSNR:23.26615221071725	SSIM: 0.8538585305213928
PSNR:20.016825099732674	SSIM: 0.863483190536499
PSNR:23.40309944480394	SSIM: 0.8250519037246704
PSNR:22.03709053496777	SSIM: 0.8339744806289673
PSNR:18.68423757375855	SSIM: 0.6523393988609314
PSNR:24.114802890428386	SSIM: 0.784127950668335
PSNR:19.863613815425644	SSIM: 0.712486207485199
PSNR:28.682971702131482	SSIM: 0.9122949838638306
PSNR:27.098199297466476	SSIM: 0.8299620151519775
PSNR:18.316975979564926	SSIM: 0.8422210812568665
PSNR:26.433574811235403	SSIM: 0.878570020198822
PSNR:22.68431717616702	SSIM: 0.7950453758239746
PSNR:25.12828933034099	SSIM: 0.7903590798377991
PSNR:22.650591429905482	SSIM: 0.7077525854110718
PSNR:28.356559330554628	SSIM: 0.8598861694335938
PSNR:22.009768870098544	SSIM: 0.8019809722900391
PSNR:23.94640752319262	SSIM: 0.8395150303840637
PSNR:29.168804434352257	SSIM: 0.8945126533508301
PSNR:19.031724255650847	SSIM: 0.7037371397018433
PSNR:27.665441785441217	SSIM: 0.8521280288696289
PSNR:25.226904458001034	SSIM: 0.6723018884658813
PSNR:28.84721423515513	SSIM: 0.9450388550758362
PSNR:26.123071169722756	SSIM: 0.8780788779258728
PSNR:23.53166867029622	SSIM: 0.7608028650283813
PSNR:26.960269942113136	SSIM: 0.9131727814674377
PSNR:29.669615156283772	SSIM: 0.8497177362442017
PSNR:26.353815285253397	SSIM: 0.8135090470314026
PSNR:24.82282360472356	SSIM: 0.8281893730163574
PSNR:27.807373832344563	SSIM: 0.8151998519897461
PSNR:21.364456432730158	SSIM: 0.8280031085014343
PSNR:26.535754570618785	SSIM: 0.9165284037590027
PSNR:27.164681644325594	SSIM: 0.842423141002655
PSNR:31.891818354606173	SSIM: 0.9111828207969666
PSNR:26.357126174887668	SSIM: 0.9202235341072083
PSNR:22.089837721275615	SSIM: 0.8749082684516907
PSNR:27.166459793927324	SSIM: 0.8679143190383911
PSNR:25.719576614626266	SSIM: 0.8005542159080505
PSNR:23.26282562031926	SSIM: 0.7809494733810425
PSNR:21.90506462087072	SSIM: 0.784302830696106
PSNR:25.840184080880245	SSIM: 0.8521272540092468
PSNR:20.924638059667796	SSIM: 0.7814422845840454
PSNR:20.141686277829276	SSIM: 0.8263157606124878
PSNR:21.40172821880778	SSIM: 0.6650263071060181
PSNR:32.08775617837505	SSIM: 0.954635739326477
PSNR:23.103539879276656	SSIM: 0.8708881735801697
PSNR:29.69742456670213	SSIM: 0.8988775610923767
PSNR:23.616600798861228	SSIM: 0.8157252073287964
PSNR:24.73687631041955	SSIM: 0.783980131149292
PSNR:26.642193696662023	SSIM: 0.8218709230422974
PSNR:25.073825277794842	SSIM: 0.7629212141036987
PSNR:28.248149845477396	SSIM: 0.8526585698127747
PSNR:26.592326070542708	SSIM: 0.87772136926651
PSNR:26.386880278380858	SSIM: 0.8361233472824097
PSNR:17.809495251493683	SSIM: 0.7735901474952698
Average PSNR: 24.929632
Average SSIM: 0.829196
